@relation dataset-gender

@attribute 'top artists listen percent' numeric
@attribute 'lowe word count in songs' numeric
@attribute 'count of different tags in top artists' numeric
@attribute playcount numeric
@attribute 'top artists total listeners' numeric
@attribute gender {m,f}

@data
0.399645,9,12,6766,2704,f
0.170635,2,13,21338,3641,f
0.120466,0,12,27128,3268,m
0.525768,1,5,40632,21363,m
0.154893,0,13,7276,1127,m
0.3,0,9,20,6,m
0.080047,0,12,6009,481,m
0.175663,3,11,16748,2942,f
1,0,5,49,49,f
0.15139,4,7,44884,6795,m
0.262268,2,12,25554,6702,m
0.534914,6,9,22899,12249,m
0.150624,5,13,12010,1809,m
0.229665,0,12,37424,8595,f
0.302526,0,11,89523,27083,m
0.16921,4,13,10419,1763,f
0.214604,4,14,17749,3809,m
0.29085,5,11,1224,356,m
0.172136,1,11,8441,1453,f
0.38138,4,13,5016,1913,m
0.211357,9,9,56970,12041,m
0.225943,5,11,2359,533,m
0.271208,9,10,8558,2321,f
0.529928,0,12,4561,2417,m
0.3451,6,7,17705,6110,m
0.342255,13,10,5642,1931,f
0.752998,1,9,1251,942,f
0.331512,0,7,15004,4974,m
0.382136,5,8,2575,984,f
0.274921,0,12,10694,2940,f
0.206687,3,6,1316,272,f
0.502615,0,11,19122,9611,m
0.279275,3,13,15064,4207,m
0.152174,0,5,782,119,f
0.206011,3,14,4558,939,m
0.308342,1,6,20954,6461,f
0.105952,9,9,3209,340,m
0.256896,1,7,1849,475,m
0.62908,1,12,1011,636,m
0.481481,0,12,27,13,m
0.303071,9,9,749,227,f
0.292793,2,11,2442,715,m
0.330836,2,11,801,265,m
0.931624,3,9,117,109,m
